Table,Condition,Frequency
an,1=1,18
an,an.name like '%a%',2
an,an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'A%'),1
,,
it,1=1,3
it_pi,it.info ='mini biography',3
it_miidx,it.info = 'top 250 rank',1
it_miidx,it.info = 'bottom 10 rank',3
it_miidx,it.info ='rating',28
it_mi,it.info = 'genres',13
it_mi,it.info ='budget',2
it_mi,it.info ='release dates',20
it_mi,it.info = 'countries',10
it_miidx,it.info = 'votes',10
it_pi,it.info = 'trivia',2
it_pi,it.info = 'height',1
,,
lt,1=1,4
lt,lt.link ='features',2
lt,"lt.link IN ('references', 'referenced in', 'features', 'featured in')",1
lt,lt.link LIKE '%follow%',8
lt,lt.link LIKE '%follows%',1
lt,"lt.link IN ('sequel', 'follows', 'followed by')",1
,,
n,1=1,12
n,n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender='m' OR (n.gender = 'f' AND n.name LIKE 'B%')),1
n,n.name LIKE 'B%',1
n,n.name LIKE '%Downey%Robert%',6
n,n.gender ='f' AND n.name LIKE '%Ang%',2
n,n.gender ='f' AND n.name LIKE '%Angel%',2
n,n.gender ='f' AND n.name LIKE '%An%',7
n,n.name_pcode_cf LIKE 'D%' AND n.gender='m',1
n,n.name_pcode_cf BETWEEN 'A' AND 'F' AND (n.gender='m' OR (n.gender = 'f' AND n.name LIKE 'A%')),1
n,n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%',1
n,n.name LIKE '%Yo%' AND n.name NOT LIKE '%Yu%',1
n,n.gender ='f',2
n,n.name LIKE 'Z%',1
n,n.name LIKE 'X%',1
n,n.name LIKE '%Bert%',1
n,n.name LIKE '%B%',1
n,n.gender = 'm' AND n.name LIKE '%Tim%',2
n,n.gender IS NOT NULL AND n.gender = 'f',1
n,n.gender = 'm',8
,,
pi,1=1,3
pi,pi.note ='Volker Boehm',2
pi,pi.note IS NOT NULL,1
,,
k,1=1,6
k,k.keyword ='character-name-in-title',14
k,"k.keyword ='10,000-mile-club'",1
k,k.keyword LIKE '%sequel%',7
k,k.keyword = 'marvel-cinematic-universe',3
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",3
k,k.keyword ='sequel',8
k,k.keyword = 'computer-animation',3
k,"k.keyword IN ('sequel', 'revenge', 'based-on-novel')",2
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",1
k,"k.keyword IN ('murder', 'murder-in-title')",1
k,"k.keyword IS NOT NULL AND k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",1
k,"k.keyword IN ('superhero', 'sequel', 'second-part', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence')",2
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",1
k,"k.keyword IN ('murder', 'murder-in-title', 'blood', 'violence')",7
k,"k.keyword IN ('nerd', 'loner', 'alienation', 'dignity')",1
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat')",1
k,"k.keyword IN ('hero', 'martial-arts', 'hand-to-hand-combat', 'computer-animated-movie')",1
k,"k.keyword IN ('murder', 'blood', 'gore', 'death', 'female-nudity')",2
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'tv-special', 'fight', 'violence', 'magnet', 'web', 'claw', 'laser')",2
k,"k.keyword IN ('superhero', 'marvel-comics', 'based-on-comic', 'fight')",1
k,"k.keyword IN ('murder', 'violence', 'blood', 'gore', 'death', 'female-nudity', 'hospital')",7
,,
ct,1=1,17
ct,ct.kind = 'production companies',21
ct,ct.kind != 'production companies' AND ct.kind IS NOT NULL,1
ct,ct.kind != 'production companies' AND ct.kind IS NOT NULL,1
ct,ct.kind IS NOT NULL AND (ct.kind ='production companies' OR ct.kind = 'distributors'),1
,,
mc,1=1,37
mc,mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND (mc.note LIKE '%(co-production)%' OR mc.note LIKE '%(presents)%'),1
mc,mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%',2
mc,mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%' AND (mc.note LIKE '%(co-production)%'),1
mc,mc.note LIKE '%(theatrical)%' AND mc.note LIKE '%(France)%',1
