Table,Condition,Frequency
d1,d1.d_moy = 1 AND d1.d_year = 1998,2
d1,d1.d_moy = 1 AND d1.d_year = 1999,4
d1,d1.d_moy = 1 AND d1.d_year = 2000,2
d1,d1.d_moy = 1 AND d1.d_year = 2001,2
d1,d1.d_moy = 1 AND d1.d_year = 2002,1
d1,d1.d_moy = 10 AND d1.d_year = 1998,1
d1,d1.d_moy = 10 AND d1.d_year = 1999,2
d1,d1.d_moy = 10 AND d1.d_year = 2000,5
d1,d1.d_moy = 2 AND d1.d_year = 1998,3
d1,d1.d_moy = 2 AND d1.d_year = 1999,2
d1,d1.d_moy = 2 AND d1.d_year = 2000,1
d1,d1.d_moy = 2 AND d1.d_year = 2001,2
d1,d1.d_moy = 2 AND d1.d_year = 2002,1
d1,d1.d_moy = 3 AND d1.d_year = 1998,2
d1,d1.d_moy = 3 AND d1.d_year = 1999,2
d1,d1.d_moy = 3 AND d1.d_year = 2000,1
d1,d1.d_moy = 3 AND d1.d_year = 2001,4
d1,d1.d_moy = 3 AND d1.d_year = 2002,3
d1,d1.d_moy = 4 AND d1.d_year = 1998,2
d1,d1.d_moy = 4 AND d1.d_year = 1999,1
d1,d1.d_moy = 4 AND d1.d_year = 2000,2
d1,d1.d_moy = 4 AND d1.d_year = 2001,2
d1,d1.d_moy = 4 AND d1.d_year = 2002,1
d1,d1.d_moy = 5 AND d1.d_year = 1998,1
d1,d1.d_moy = 5 AND d1.d_year = 1999,6
d1,d1.d_moy = 5 AND d1.d_year = 2000,2
d1,d1.d_moy = 5 AND d1.d_year = 2002,3
d1,d1.d_moy = 6 AND d1.d_year = 1998,1
d1,d1.d_moy = 6 AND d1.d_year = 1999,3
d1,d1.d_moy = 6 AND d1.d_year = 2000,3
d1,d1.d_moy = 6 AND d1.d_year = 2001,1
d1,d1.d_moy = 6 AND d1.d_year = 2002,4
d1,d1.d_moy = 7 AND d1.d_year = 1998,4
d1,d1.d_moy = 7 AND d1.d_year = 1999,3
d1,d1.d_moy = 7 AND d1.d_year = 2000,1
d1,d1.d_moy = 7 AND d1.d_year = 2002,2
d1,d1.d_moy = 8 AND d1.d_year = 1998,2
d1,d1.d_moy = 8 AND d1.d_year = 1999,4
d1,d1.d_moy = 8 AND d1.d_year = 2000,2
d1,d1.d_moy = 8 AND d1.d_year = 2002,1
d1,d1.d_moy = 9 AND d1.d_year = 1999,3
d1,d1.d_moy = 9 AND d1.d_year = 2000,3
d1,d1.d_moy = 9 AND d1.d_year = 2001,2
d1,d1.d_moy = 9 AND d1.d_year = 2002,1
d2,d2.d_moy BETWEEN 1 AND 1 + 2 AND d2.d_year = 1998,2
d2,d2.d_moy BETWEEN 1 AND 1 + 2 AND d2.d_year = 1999,4
d2,d2.d_moy BETWEEN 1 AND 1 + 2 AND d2.d_year = 2000,2
d2,d2.d_moy BETWEEN 1 AND 1 + 2 AND d2.d_year = 2001,2
d2,d2.d_moy BETWEEN 1 AND 1 + 2 AND d2.d_year = 2002,1
d2,d2.d_moy BETWEEN 10 AND 10 + 2 AND d2.d_year = 1998,1
d2,d2.d_moy BETWEEN 10 AND 10 + 2 AND d2.d_year = 1999,2
d2,d2.d_moy BETWEEN 10 AND 10 + 2 AND d2.d_year = 2000,5
d2,d2.d_moy BETWEEN 2 AND 2 + 2 AND d2.d_year = 1998,3
d2,d2.d_moy BETWEEN 2 AND 2 + 2 AND d2.d_year = 1999,2
