Table,Condition,Frequency
u,u.UpVotes >= 0,4
u,u.DownVotes <= 0 AND u.UpVotes >= 0 AND u.CreationDate >= '2010-08-23 16:21:10'::timestamp AND u.CreationDate <= '2014-09-02 09:50:06'::timestamp,1
u,u.Reputation >= 1 AND u.Reputation <= 487 AND u.UpVotes <= 27 AND u.CreationDate >= '2010-10-22 22:40:35'::timestamp AND u.CreationDate <= '2014-09-10 17:01:31'::timestamp,1
u,u.Reputation >= 1 AND u.Reputation <= 691,1
u,u.UpVotes = 0 AND u.CreationDate <= '2014-09-12 03:25:34'::timestamp,1
u,u.DownVotes >= 0 AND u.UpVotes >= 0 AND u.UpVotes <= 17 AND u.CreationDate >= '2010-08-06 07:03:05'::timestamp AND u.CreationDate <= '2014-09-08 04:18:44'::timestamp,1
u,u.CreationDate <= '2014-09-12 07:12:16'::timestamp,1
u,u.Reputation >= 1 AND u.Reputation <= 6524 AND u.Views >= 0,1
u,u.UpVotes >= 0 AND u.CreationDate >= '2010-07-27 17:15:57'::timestamp AND u.CreationDate <= '2014-09-03 12:47:42'::timestamp,1
u,u.CreationDate >= '2010-07-22 04:38:06'::timestamp AND u.CreationDate <= '2014-09-08 15:55:02'::timestamp,1
u,u.DownVotes >= 0 AND u.DownVotes <= 0,1
u,u.DownVotes = 0,1
u,u.UpVotes >= 0 AND u.CreationDate >= '2010-08-21 21:27:38'::timestamp,1
u,u.UpVotes >= 0 AND u.UpVotes <= 12 AND u.CreationDate >= '2010-07-19 19:09:39'::timestamp,1
u,u.Reputation >= 1,4
u,u.DownVotes <= 2 AND u.UpVotes >= 0 AND u.CreationDate >= '2010-11-26 03:34:11'::timestamp,1
u,u.CreationDate >= '2010-11-16 06:03:04'::timestamp,1
u,u.Views >= 0 AND u.Views <= 783 AND u.DownVotes >= 0 AND u.DownVotes <= 1 AND u.UpVotes <= 123,1
u,u.Reputation >= 1 AND u.Views >= 0 AND u.Views <= 110 AND u.UpVotes = 0 AND u.CreationDate >= '2010-07-28 19:29:11'::timestamp AND u.CreationDate <= '2014-08-14 05:29:30'::timestamp,1
u,u.CreationDate >= '2010-07-20 01:27:29'::timestamp,2
u,u.DownVotes <= 57 AND u.CreationDate >= '2010-08-26 09:01:31'::timestamp AND u.CreationDate <= '2014-08-10 11:01:39'::timestamp,1
u,u.UpVotes >= 0 AND u.UpVotes <= 18,1
u,u.Reputation >= 1 AND u.Reputation <= 356 AND u.DownVotes <= 34 AND u.CreationDate >= '2010-07-19 21:29:29'::timestamp AND u.CreationDate <= '2014-08-20 14:31:46'::timestamp,1
